Conv_M1,Conv_M2,Conv_M3,Conv_M4,Conv_M5,Conv_M6,Conv_F1,Conv_F2,Conv_F3,Conv_F4,Conv_F5,Conv_F6,GF_F1,GF_F2,GF_F3,GF_F4,GF_F5,GF_F6,GF_M1,GF_M2,GF_M3,GF_M4,GF_M5,GF_M6
378719.5222,56030.20794,478132.5866,469888.2764,524328.2728,353355.917,38790.95129,45783.1992,34976.32442,69576.24851,28189.69676,34605.45064,2268170.308,2262979.289,2684929.572,2246085.077,2435703.797,3018347.67,2128296.816,2247405.753,2153262.15,2496171.913,2073940.165,2339694.853
22327.50221,0,26259.64712,11220.99817,7277.137764,25759.85177,0,0,0,0,8697.726078,0,1990687.435,2175150.003,2329552.711,2245810.588,2057932.842,3610533.061,2294771.4,2016187.791,1857864.501,3286757.689,3099867.858,1702625.957
0,0,0,0,0,0,5333.225038,0,0,0,0,0,998720.2372,948890.8196,1106425.005,1115241.606,391783.8243,3166738.113,479314.413,320514.8604,1108442.303,1118808.951,1099902.15,1006155.588
369236.9693,305133.9372,247881.0637,275200.4012,252106.2167,266075.0351,163883.8572,143555.689,212366.6553,256172.613,176025.0031,232039.4556,2964012.867,2843414.927,3043668.57,2929184.181,3173664.906,3336037.226,2470050.583,2554659.928,2737963.954,3186418.343,3018181.391,2883330.673
50055.264,0,42410.23962,22545.69463,0,0,0,0,0,0,0,0,892940.4653,731754.1564,878058.7779,730886.677,896811.7875,1115138.766,1233198.882,1247886.953,1165082.295,1423010.69,1090095.885,1211230.878
1003341.029,1184078.997,1592639.067,1129240.939,988268.0086,2316537.593,662038.5361,998195.4062,859599.6012,1609532.527,982834.5655,2341738.717,581772.7685,949248.7404,10019525.83,565341.3139,469185.3311,11900116.79,10904005.77,11359913.41,10851049.81,9809968.44,11794041.31,9987112.397
837491.4784,777096.0763,599008.9041,603121.4281,859725.874,614262.0236,565921.4535,697974.7585,399269.1173,353316.5704,332279.1834,444750.1444,4423625.531,4542472.477,438001.1723,4511099.788,4837360.69,5587366.305,3589780.712,4059667.2,4354674.817,4515737.673,3936650.503,4632110.637
1282409.984,706727.2193,613259.7692,446610.9625,1235577.422,654272.3041,14288.14214,50525.10885,37033.75921,51394.47955,47688.8602,50979.0431,1576182.432,1880217.168,1864696.943,1706536.31,1851964.358,1937726.533,1621034.445,1605409.809,1797829.065,2213678.362,2373824.297,2075955.288
2114575.913,2173373.925,3942426.945,1632412.153,2844859.864,3149854.193,733156.7312,1167614.158,837437.8938,585666.0573,892495.6451,959495.1927,5893421.568,5731966.452,6339838.597,5312113.081,6548274.604,7247478.404,4393939.361,5267896.769,5443041.935,6042715.819,6816485.809,6096567.312
648536.4822,202916.2588,437421.0234,266905.7883,340928.6284,699559.5781,63689.30326,62328.55283,64218.33568,216010.3486,127074.4659,82445.8085,2268163.223,2030774.665,2769002.46,2049637.763,2662893.833,2390450.524,2959502.686,3655661.577,2911600.737,2694708.998,2271667.22,3051617.577
0,0,34464.15487,0,0,0,0,0,0,0,0,0,337302.4329,366583.984,343412.7588,303009.9406,298730.5635,414401.1039,477074.7688,444484.3653,391754.9706,473020.8659,237375.2497,330684.0498
439401.799,0,0,186106.5954,141348.4708,130181.5856,193352.3713,9553.760919,43239.84375,246050.5797,63854.3836,114876.8738,170867.5962,235961.0855,506958.9474,943851.5466,316694.4337,860922.2123,1061644.097,122989.8403,491239.0578,1253411.09,800461.9384,211134.1093
3571131.292,169777.2674,6301116.126,4191708.236,5403342.984,2842360.999,4847951.346,16451852.48,16868156.99,2273262.567,11674434.75,10607969.06,604016.8041,597892.6511,587965.857,569391.4894,625349.2548,618354.3255,501602.0284,527778.0165,601967.123,473416.8305,551581.8834,613882.4724
12550729.34,15906006.58,14572749.06,13898913.08,14684275.63,11553289.6,39062443.07,33194822.96,42754600.55,1740152.937,38515281.57,42715672.93,8510591.672,7692912.579,7983649.729,8644345.095,9560977.299,8482005.261,6410353.668,8103112.221,7726475.097,7742403.502,9239793.965,7994675.523
9755903.123,12378399.07,8277155.472,10695819.64,8561553.401,7838133.29,44726475.53,41051070.76,84061627.65,64797847.15,35960459.82,43301503.92,9051544.64,3366112.017,8889834.67,6181891.63,6363777.029,12252095.02,4515528.988,5269610.348,4779745.86,5759558.404,6478004.172,6312940.045
107740351.6,166316794.3,62358039.32,149349841.9,133392642.3,129438151.5,5665489.106,4022078.224,6089779.273,4872787.665,6112296.616,4843805.392,2799000.21,4813257.663,1853251.801,3783631.325,3660674.686,3291739.216,2320429.89,6594816.418,2642171.153,2734398.956,7457898.575,3737532.064
2358957.678,9287637.305,11569629.96,5760807.93,10122223.3,8575979.839,189572584.6,490124423.3,346481167,95602647.17,460094662.4,122279683.9,5179287.4,49530965.69,10862813.06,3690211.547,9076570.801,12619813.18,7064938.751,8590544.219,4594474.448,10531452.45,3092829.388,5547117.974
103604363.4,147269134.2,61981578.55,93718264.84,91513074.64,73380227.9,75030259.78,37870622.9,44947262.84,55984823.45,45311751.41,32786576.3,9714080.09,19942310.29,11262882.4,7901705.816,10184703.53,9963836.322,7880306.017,11420760.98,6798488.978,9112598.229,13578039.48,8480165.192
1655839273,1180572551,579743193.9,1193539572,428901263.1,663208914.5,121441334.9,721333517.9,328434686.4,119393184.3,425119602.9,235890955.6,12509955.48,21509566.46,16566745.18,12510128.97,15493198.52,16804377.85,11364228.68,11530264.17,10360397.85,15554368.83,10369078.59,11006332.73
1426211.249,4379964.969,944582.4943,1107388.7,1557415.28,1398032.916,2242809.652,2455269.038,2421792.281,1865231.307,6259241.144,5357272.566,592614.3973,1630432.342,575191.5613,153014.5607,575487.1452,474651.8996,140147.6694,193718.6238,383182.3673,316203.0619,256409.4209,36970.96958
18446013.94,32770687.37,13504192.9,18930831.87,15339550.38,21144315.75,7646071.177,3404213.523,6308941.066,3180122.359,5806159.888,5717254.824,1261459.463,1590347.684,513542.0556,3091869.882,1975249.771,2851707.07,1546608.731,2711981.069,2814488.06,3135194.52,3536491.563,2325265.645
3678741.438,4347540.591,2892716.942,3671324.649,3978955.633,3466588.137,779597.9073,3754787.558,1880152.774,125108.6913,1722125.644,1033711.941,1176438.741,957289.8976,1142779.499,866481.8384,1170467.404,1042439.61,978636.2172,1378082.269,1113248.729,1251297.998,1414808.191,1519545.849
