taxonomy_UHGP,Phyla,Loop_Class_Final
Absicoccus_sp000434355,Firmicutes,CTD
Acetatifactor_sp900066365,Firmicutes_A,Mini-Loop_1
Acetatifactor_sp900066565_1,Firmicutes_A,Mini-Loop_1
Acetatifactor_sp900066565_2,Firmicutes_A,Mini-Loop_1
Acetatifactor_sp900066565_3,Firmicutes_A,Mini-Loop_1
Acetatifactor_sp900066565_4,Firmicutes_A,Mini-Loop_1
Akkermansia_muciniphila_1,Verrucomicrobiota,Mini-Loop_2
Akkermansia_muciniphila_2,Verrucomicrobiota,Mini-Loop_2
Akkermansia_muciniphila_3,Verrucomicrobiota,Mini-Loop_2
Bacteria_unclassified_1,,CTD
Bacteria_unclassified_2,,Mini-Loop_1
Bacteroides_caccae_1,Bacteroidota,No_Loop
Bacteroides_caccae_2,Bacteroidota,No_Loop
Bacteroides_cellulosilyticus_1,Bacteroidota,No_Loop
Bacteroides_cellulosilyticus_2,Bacteroidota,Loop_2
Bacteroides_cellulosilyticus_3,Bacteroidota,Loop_2
Bacteroides_cellulosilyticus_4,Bacteroidota,No_Loop
Bacteroides_cellulosilyticus_5,Bacteroidota,Loop_2
Bacteroides_cellulosilyticus_6,Bacteroidota,No_Loop
Bacteroides_cellulosilyticus_7,Bacteroidota,No_Loop
Bacteroides_cellulosilyticus_8,Bacteroidota,Loop_2
Bacteroides_thetaiotaomicron_1,Bacteroidota,No_Loop
Bacteroides_thetaiotaomicron_2,Bacteroidota,Mini-Loop_1
Bacteroides_uniformis_1,Bacteroidota,Loop_2
Bacteroides_uniformis_10,Bacteroidota,Loop_2
Bacteroides_uniformis_11,Bacteroidota,Loop_2
Bacteroides_uniformis_12,Bacteroidota,No_Loop
Bacteroides_uniformis_13,Bacteroidota,NTL
Bacteroides_uniformis_14,Bacteroidota,NTL
Bacteroides_uniformis_15,Bacteroidota,Loop_2
Bacteroides_uniformis_2,Bacteroidota,Loop_2
Bacteroides_uniformis_3,Bacteroidota,No_Loop
Bacteroides_uniformis_4,Bacteroidota,No_Loop
Bacteroides_uniformis_5,Bacteroidota,No_Loop
Bacteroides_uniformis_6,Bacteroidota,Loop_2
Bacteroides_uniformis_7,Bacteroidota,No_Loop
Bacteroides_uniformis_8,Bacteroidota,No_Loop
Bacteroides_uniformis_9,Bacteroidota,Loop_2
Blautia_A_obeum,Firmicutes_A,Mini-Loop_1
Blautia_sp000432195_1,Firmicutes_A,No_Loop
Blautia_sp000432195_2,Firmicutes_A,CTD
CAG_177_sp000431775,Firmicutes_A,No_Loop
CAG_180_sp000432435_1,Firmicutes_A,No_Loop
CAG_180_sp000432435_2,Firmicutes_A,No_Loop
CAG_180_sp000432435_3,Firmicutes_A,No_Loop
CAG_353_sp900066885,Firmicutes_A,Mini-Loop_1
Clostridia_unclassified_1,Firmicutes_A,Mini-Loop_1
Clostridia_unclassified_2,Firmicutes_A,Mini-Loop_1
