Class,Fold-Change,P
Inactive Glucuronide,0.111447428,0.004649024
Inactive Glucuronide,0.093679932,0.023854127
Inactive Glucuronide,0.690149259,0.006236026
Inactive Glucuronide,0.907455989,0.709576191
Inactive Glucuronide,0.651061007,0.008694221
Inactive Glucuronide,0.051005599,0.002732937
Inactive Glucuronide,0.326398531,0.002864574
Inactive Glucuronide,0.237173848,0.009171317
Inactive Glucuronide,0.747936515,0.632855162
Active Aglycone,2.790266832,0.039140539
Active Aglycone,2.380576935,0.03044125
Active Aglycone,5.45845169,0.002267023
Active Aglycone,0.042220696,0.000477124
Active Aglycone,35.7450809,0.011049505
Active Aglycone,0.510845733,0.009927673
Active Aglycone,0.34227992,0.021091927
Active Aglycone,1.905158722,0.11283487
Active Aglycone,0.266888124,0.002615743
Active Aglycone,0.421834292,0.007215844
Active Aglycone,0.845202019,0.302360268
Active Aglycone,0.626237783,0.011776821
Active Aglycone,0.61910295,0.003450328
