sample_ID,S-101_C415512_1_gene2_CTD,S-101_scaffold10617_2_gene3_Loop_2,S-101_scaffold13771_2_gene2_Loop_2,S-101_scaffold2651_1_gene2_Mini-Loop_1,S-101_scaffold32341_1_gene2_Mini-Loop_1,S-101_scaffold33808_2_gene5_Mini-Loop_1,S-101_scaffold34142_1_gene6_Loop_1,S-101_scaffold635_5_gene11_No_Loop,S-102_scaffold15792_3_gene4_No_Loop,S-102_scaffold15876_1_gene4_CTD,S-102_scaffold5541_8_gene1_No_Loop,S-102_scaffold6037_1_gene18_No_Loop,S-107_scaffold16444_2_gene2_Mini-Loop_1,S-107_scaffold22223_1_gene1_CTD,S-107_scaffold22305_1_gene17_No_Loop,S-107_scaffold5330_5_gene2_No_Loop,S-108_C520442_1_gene1_CTD,S-108_C540159_1_gene2_Loop_2,S-108_scaffold29921_2_gene6_No_Loop,S-108_scaffold41206_4_gene8_CTD,S-108_scaffold41303_5_gene6_Loop_2,S-108_scaffold43239_1_gene4_No_Loop,S-108_scaffold46_14_gene12_No_Loop,S-108_scaffold7267_2_gene3_CTD,S-111_scaffold42573_1_gene5_No_Loop,S-111_scaffold4923_2_gene2_No_Loop,S-112_C547703_1_gene3_No_Loop,S-112_scaffold30541_1_gene1_CTD,S-112_scaffold38760_2_gene2_Mini-Loop_1,S-112_scaffold6961_2_gene1_CTD,S-118_scaffold1424_4_gene10_CTD,S-118_scaffold21412_2_gene1_CTD,S-118_scaffold23734_1_gene7_No_Loop,S-118_scaffold23831_3_gene4_CTD,S-118_scaffold24186_1_gene2_No_Loop,S-118_scaffold9349_3_gene10_Mini-Loop_1,S-119_C760062_1_gene21_Mini-Loop_1,S-119_scaffold24836_1_gene2_CTD,S-119_scaffold37254_2_gene1_No_Loop,S-119_scaffold50581_3_gene4_Loop_1,S-121_scaffold36061_1_gene2_No_Loop,S-121_scaffold38737_1_gene1_CTD,S-121_scaffold40384_1_gene3_No_Loop,S-121_scaffold48505_1_gene5_No_Loop,S-121_scaffold48543_1_gene30_No_Loop,S-125_C271221_1_gene1_CTD,S-125_scaffold15792_2_gene1_CTD,S-125_scaffold4062_8_gene21_NTL,S-125_scaffold8979_3_gene6_Mini-Loop_1,S-125_scaffold965_1_gene3_CTD
1,0,0,19.24200176,25.38636958,23.91469899,0,27.37823836,17.31548571,0,0,0,16.86785786,0,0,0,0,0,19.06563176,0,0,0,24.55958388,0,20.47119889,0,0,20.34862443,0,0,0,0,0,0,0,0,0,0,0,21.81659621,0,0,27.31250576,0,0,0,0,0,23.56488352,16.87615719,0
2,0,0,0,24.55602044,0,0,22.04259988,0,24.35002841,20.1655793,0,19.24537165,0,0,0,0,17.9181761,0,0,0,0,26.46687505,22.55875514,28.42818271,0,0,18.28910931,0,0,19.09429422,0,0,0,0,0,0,0,0,21.56113502,0,0,21.25839351,0,0,17.29221377,0,0,24.65567309,23.67314342,0
3,0,0,0,23.51821323,21.65053291,0,19.94062904,0,0,0,0,0,0,21.58136795,0,18.34637522,0,0,0,0,0,19.17448199,20.67994393,28.04343453,0,0,20.39393505,0,0,0,0,0,0,0,0,0,18.09558246,0,20.24991434,0,0,20.75784247,0,0,17.78704805,0,22.87021193,22.91192296,18.20141562,0
4,0,16.68811368,0,23.67443712,0,16.82426268,22.8308989,0,0,0,19.00793611,18.1405602,0,0,0,0,0,19.66731601,17.69988419,20.10354395,17.52886613,23.17041656,21.9242645,27.5322992,0,0,0,0,0,17.98348354,0,0,0,0,0,0,0,0,0,0,0,23.98346266,0,0,17.97045421,0,20.97407283,0,22.48111453,0
5,0,0,0,21.83880537,21.48507653,0,21.69153396,0,0,18.87462721,0,19.22736211,0,0,0,0,0,0,0,0,18.82388964,23.54309509,19.76441809,25.24081753,23.90994727,20.05165504,18.31127824,0,0,18.6895476,0,0,0,0,0,0,22.9382077,0,20.41565513,19.08713648,0,0,21.29630907,17.77243057,17.46865586,0,0,21.57869884,17.80164521,0
6,0,0,0,24.58330914,21.90664842,0,20.02404666,0,0,0,0,0,0,0,18.73466332,0,0,0,0,0,0,23.34719204,0,22.75097108,0,0,20.02106672,0,0,18.72427402,0,0,0,0,0,0,0,0,21.4548796,0,0,20.49852981,19.83505424,0,0,0,0,21.62978705,22.2032034,0
7,18.54196627,0,0,26.32154831,0,0,0,0,0,0,0,0,0,0,0,0,25.9763561,0,0,0,0,0,0,0,0,0,0,0,0,22.01164631,22.87563988,23.70007052,0,20.91152073,17.68811368,22.47380185,0,0,0,0,0,0,0,0,0,21.92255972,0,0,0,21.79558629
8,0,0,0,23.84488885,23.99455371,0,22.74919183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.01566686,0,24.58766445,18.53297985,0,19.75340938,21.18725057,19.59382877,17.05949234,0,0,0,0,0,0,23.7571507,25.71573225,18.95843943,24.35877245,0,21.92831885,20.31815882,0,0,0,21.4274172,22.086994,18.29342674,0
9,0,0,0,25.36629686,0,21.56843676,24.08074663,0,0,0,0,0,0,0,0,0,0,19.32142169,0,0,0,19.35661961,21.22523333,26.51304034,0,0,0,0,0,0,0,21.11876622,0,0,0,0,0,0,0,21.38374226,19.58319665,25.13073048,0,0,20.98210509,0,20.42603538,23.87923473,20.56644059,0
10,0,16.72573903,0,25.14600427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.00258035,0,0,0,0,0,0,18.14912192,0,18.29522187,0,0,0,0,0,0,0,0,0,0,0,19.98105994,22.63200829,19.38726008,20.88658373,21.68538701,21.20687366
